分类: 📡卫视频道, 名称: 重庆卫视, 总数: 165, 有效率: 4.85%, 有效: 8, IPv4: 165, IPv6: 0, 最小延迟: 30 ms, 最高速率: 31.29 MiB/s, 平均速率: 5.83 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东方卫视, 总数: 173, 有效率: 4.05%, 有效: 7, IPv4: 173, IPv6: 0, 最小延迟: 32 ms, 最高速率: 18.02 MiB/s, 平均速率: 8.64 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东南卫视, 总数: 151, 有效率: 2.65%, 有效: 4, IPv4: 151, IPv6: 0, 最小延迟: 12 ms, 最高速率: 21.44 MiB/s, 平均速率: 9.19 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 甘肃卫视, 总数: 114, 有效率: 3.51%, 有效: 4, IPv4: 114, IPv6: 0, 最小延迟: 31 ms, 最高速率: 14.78 MiB/s, 平均速率: 10.90 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 总数: 139, 有效率: 3.60%, 有效: 5, IPv4: 139, IPv6: 0, 最小延迟: 22 ms, 最高速率: 32.04 MiB/s, 平均速率: 9.39 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 贵州卫视, 总数: 163, 有效率: 6.13%, 有效: 10, IPv4: 163, IPv6: 0, 最小延迟: 32 ms, 最高速率: 14.62 MiB/s, 平均速率: 7.33 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.08, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 总数: 120, 有效率: 0.83%, 有效: 1, IPv4: 120, IPv6: 0, 最小延迟: 35 ms, 最高速率: 1.73 MiB/s, 平均速率: 1.73 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河北卫视, 总数: 159, 有效率: 3.14%, 有效: 5, IPv4: 159, IPv6: 0, 最小延迟: 29 ms, 最高速率: 13.08 MiB/s, 平均速率: 5.66 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.79, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 总数: 168, 有效率: 4.17%, 有效: 7, IPv4: 168, IPv6: 0, 最小延迟: 31 ms, 最高速率: 14.99 MiB/s, 平均速率: 4.77 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.79, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 总数: 149, 有效率: 4.70%, 有效: 7, IPv4: 149, IPv6: 0, 最小延迟: 33 ms, 最高速率: 13.17 MiB/s, 平均速率: 2.69 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.27, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 总数: 179, 有效率: 6.15%, 有效: 11, IPv4: 179, IPv6: 0, 最小延迟: 34 ms, 最高速率: 14.05 MiB/s, 平均速率: 8.26 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江西卫视, 总数: 165, 有效率: 4.85%, 有效: 8, IPv4: 165, IPv6: 0, 最小延迟: 31 ms, 最高速率: 14.81 MiB/s, 平均速率: 7.21 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.39, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 总数: 159, 有效率: 6.29%, 有效: 10, IPv4: 159, IPv6: 0, 最小延迟: 22 ms, 最高速率: 46.62 MiB/s, 平均速率: 14.14 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.27, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 内蒙古卫视, 总数: 76, 有效率: 3.95%, 有效: 3, IPv4: 76, IPv6: 0, 最小延迟: 23 ms, 最高速率: 56.03 MiB/s, 平均速率: 23.31 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 总数: 73, 有效率: 5.48%, 有效: 4, IPv4: 73, IPv6: 0, 最小延迟: 34 ms, 最高速率: 18.86 MiB/s, 平均速率: 10.65 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
